week_begin,week_end,visits,visitors,new_visitors,pages,search_systems,links_on_sites,Ru_part
03.01.22,09.01.22,926,789,704,1877,304,40,28.5
10.01.22,16.01.22,1616,1303,1140,3526,522,92,46.3
17.01.22,23.01.22,1597,1358,1192,3631,535,67,43.6
24.01.22,30.01.22,1729,1395,1232,3789,585,96,46.4
31.01.22,06.02.22,1711,1434,1267,3751,560,110,43.7
07.02.22,13.02.22,1889,1565,1353,4084,643,97,44.7
14.02.22,20.02.22,2225,1819,1602,4583,799,131,44.3
21.02.22,27.02.22,2227,1838,1606,5137,767,138,46.9
28.02.22,06.03.22,2093,1722,1517,4679,852,93,40.9
07.03.22,13.03.22,1821,1527,1343,3740,738,73,36.4
14.03.22,20.03.22,2154,1809,1576,4346,823,101,39.7
21.03.22,27.03.22,2241,1927,1682,4540,885,66,41.5
28.03.22,03.04.22,2136,1788,1559,4611,842,69,43.3
